"days - order","days - title","days - tournDay","days - events","days - quals","days - matches - order","days - matches - eventName","days - matches - eventCode","days - matches - eventDay","days - matches - eventSortOrder","days - matches - id","days - matches - crt","days - matches - crtId","days - matches - event","days - matches - round","days - matches - displayBrackets","days - matches - duration","days - matches - epoch","days - matches - epochLongDate","days - matches - epochShortTime","days - matches - clickCount","days - matches - stats","days - matches - session","days - matches - sessionStart","days - matches - status","days - matches - t1 - pA_last","days - matches - t1 - pA_first","days - matches - t1 - pA_tv_name","days - matches - t1 - pAid","days - matches - t1 - pAnat","days - matches - t1 - pB_last","days - matches - t1 - pB_first","days - matches - t1 - pB_tv_name","days - matches - t1 - pBid","days - matches - t1 - pBnat","days - matches - t1 - seed","days - matches - t1 - sw","days - matches - t1 - s1","days - matches - t1 - t1","days - matches - t1 - s2","days - matches - t1 - t2","days - matches - t1 - s3","days - matches - t1 - t3","days - matches - t1 - s4","days - matches - t1 - t4","days - matches - t1 - s5","days - matches - t1 - gs","days - matches - t1 - won","days - matches - t2 - pA_last","days - matches - t2 - pA_first","days - matches - t2 - pA_tv_name","days - matches - t2 - pAid","days - matches - t2 - pAnat","days - matches - t2 - pB_last","days - matches - t2 - pB_first","days - matches - t2 - pB_tv_name","days - matches - t2 - pBid","days - matches - t2 - pBnat","days - matches - t2 - seed","days - matches - t2 - sw","days - matches - t2 - s1","days - matches - t2 - t1","days - matches - t2 - s2","days - matches - t2 - t2","days - matches - t2 - s3","days - matches - t2 - t3","days - matches - t2 - s4","days - matches - t2 - t4","days - matches - t2 - s5","days - matches - t2 - gs","days - matches - t2 - won"
"","","","","","72","L. Qualifying Singles","RS","3","K","12209","R: Court 32","r","L. Qualifying Singles - Second Round","Second Round","0","1:26","1466617239000","Wednesday 22 June 2016","06:40pm BST","4","false","1","","Complete","Sakkari","Maria","M. Sakkari","wta318312","GRE","","","","","","5","2","7","7","6","","","","","","","","true","Jaksic","Jovana","J. Jaksic","wta317351","SRB","","","","","","","0","6","2","2","","","","","","","","false"
"16","Qual. Day 2 Tuesday 21 June","2","QS,RS","true","1","G. Qualifying Singles","QS","2","J","11160","R: Court 1","a","G. Qualifying Singles - First Round","First Round","0","1:00","1466505630000","Tuesday 21 June 2016","11:40am BST","1","false","1","10:30 AM","Complete","Arguello","Facundo","F. Arguello","atpa941","ARG","","","","","","","0","3","","2","","","","","","","","false","Kovalik","Jozef","J. Kovalik","atpkc04","SVK","","","","","","19","2","6","","6","","","","","","","","true"
"","","","","","2","G. Qualifying Singles","QS","2","J","11150","R: Court 1","a","G. Qualifying Singles - First Round","First Round","0","2:08","1466514406000","Tuesday 21 June 2016","02:06pm BST","4","false","1","10.30","Complete","Arnaboldi","Andrea","A. Arnaboldi","atpa622","ITA","","","","","","","1","4","","7","7","3","","","","","","false","Soeda","Go","G. Soeda","atpsc47","JPN","","","","","","","2","6","","6","2","6","","","","","","true"
"","","","","","3","G. Qualifying Singles","QS","2","J","11102","R: Court 1","a","G. Qualifying Singles - First Round","First Round","0","1:25","1466520293000","Tuesday 21 June 2016","03:44pm BST","4","false","1","10.30","Complete","Perez Sanz","David","D. Perez Sanz","atppf36","ESP","","","","","","","0","6","4","4","","","","","","","","false","Lopez-Perez","Enrique","E. Lopez-Perez","atpla93","ESP","","","","","","","2","7","7","6","","","","","","","","true"
"","","","","","4","L. Qualifying Singles","RS","2","K","12119","R: Court 1","a","L. Qualifying Singles - First Round","First Round","0","1:31","1466526643000","Tuesday 21 June 2016","05:30pm BST","2","false","1","10.30","Complete","Krejcikova","Barbora","B. Krejcikova","wta318314","CZE","","","","","","","0","3","","6","6","","","","","","","false","Larcher De Brito","Michelle","M. Larcher De Brito","wta314929","POR","","","","","","","2","6","","7","8","","","","","","","true"
"","","","","","5","L. Qualifying Singles","RS","2","K","12127","R: Court 1","a","L. Qualifying Singles - First Round","First Round","0","1:17","1466532125000","Tuesday 21 June 2016","07:02pm BST","4","false","1","10.30","Complete","Muhammad","Asia","A. Muhammad","wta313919","USA","","","","","","","0","6","3","1","","","","","","","","false","Hlavackova","Andrea","A. Hlavackova","wta080459","CZE","","","","","","","2","7","7","6","","","","","","","","true"
"","","","","","6","G. Qualifying Singles","QS","2","J","11158","R: Court 2","b","G. Qualifying Singles - First Round","First Round","0","1:17","1466506826000","Tuesday 21 June 2016","12:00pm BST","0","false","1","10:30 AM","Complete","Guez","David","D. Guez","atpg753","FRA","","","","","","","2","6","","7","","","","","","","","true","Tiafoe","Frances","F. Tiafoe","atptd51","USA","","","","","","","0","3","","5","","","","","","","","false"
"","","","","","7","G. Qualifying Singles","QS","2","J","11149","R: Court 2","b","G. Qualifying Singles - First Round","First Round","0","1:55","1466515023000","Tuesday 21 June 2016","02:17pm BST","8","false","1","10.30","Complete","Melzer","Gerald","G. Melzer","atpmi43","AUT","","","","","","13","2","5","","6","","6","","","","","","true","Diez","Steven","S. Diez","atpd916","CAN","","","","","","","1","7","","3","","3","","","","","","false"
"","","","","","8","G. Qualifying Singles","QS","2","J","11103","R: Court 2","b","G. Qualifying Singles - First Round","First Round","0","1:23","1466521134000","Tuesday 21 June 2016","03:58pm BST","0","false","1","10.30","Complete","Lestienne","Constant","C. Lestienne","atplb66","FRA","","","","","","","0","4","","6","3","","","","","","","false","Arevalo","Marcelo","M. Arevalo","atpa853","ESA","","","","","","","2","6","","7","7","","","","","","","true"
"","","","","","9","L. Qualifying Singles","RS","2","K","12120","R: Court 2","b","L. Qualifying Singles - First Round","First Round","0","0:48","1466525207000","Tuesday 21 June 2016","05:06pm BST","1","false","1","10.30","Complete","Lim","Alize","A. Lim","wta315301","FRA","","","","","","","0","2","","1","","","","","","","","false","Zanevska","Maryna","M. Zanevska","wta317094","UKR","","","","","","22","2","6","","6","","","","","","","","true"
"","","","","","10","L. Qualifying Singles","RS","2","K","12128","R: Court 2","b","L. Qualifying Singles - First Round","First Round","0","1:50","1466532753000","Tuesday 21 June 2016","07:12pm BST","5","false","1","10.30","Complete","Wang","Yafan","Y. Wang","wta317510","CHN","","","","","","","2","6","","4","","6","","","","","","true","Hogenkamp","Richel","R. Hogenkamp","wta317263","NED","","","","","","18","1","3","","6","","0","","","","","","false"
"","","","","","11","G. Qualifying Singles","QS","2","J","11157","R: Court 3","c","G. Qualifying Singles - First Round","First Round","0","1:16","1466506963000","Tuesday 21 June 2016","12:02pm BST","7","false","1","10:30 AM","Complete","Albot","Radu","R. Albot","atpa829","MDA","","","","","","15","2","6","","6","","","","","","","","true","Clezar","Guilherme","G. Clezar","atpcc32","BRA","","","","","","","0","3","","3","","","","","","","","false"
"","","","","","12","G. Qualifying Singles","QS","2","J","11151","R: Court 3","c","G. Qualifying Singles - First Round","First Round","0","0:56","1466511179000","Tuesday 21 June 2016","01:12pm BST","3","false","1","10.30","Complete","Skugor","Franko","F. Skugor","atpsf76","CRO","","","","","","","2","6","","6","","","","","","","","true","Krstin","Pedja","P. Krstin","atpkd70","SRB","","","","","","","0","2","","4","","","","","","","","false"
"","","","","","13","G. Qualifying Singles","QS","2","J","11104","R: Court 3","c","G. Qualifying Singles - First Round","First Round","0","2:01","1466519502000","Tuesday 21 June 2016","03:31pm BST","14","false","1","10.30","Complete","Barton","Matthew","M. Barton","atpbh98","AUS","","","","","","","2","6","0","6","","8","","","","","","true","Trungelliti","Marco","M. Trungelliti","atpta29","ARG","","","","","","32","1","7","7","4","","6","","","","","","false"
"","","","","","14","L. Qualifying Singles","RS","2","K","12118","R: Court 3","c","L. Qualifying Singles - First Round","First Round","0","1:11","1466524686000","Tuesday 21 June 2016","04:58pm BST","9","false","1","10.30","Complete","Jaksic","Jovana","J. Jaksic","wta317351","SRB","","","","","","","2","6","","6","","","","","","","","true","Hibi","Mayo","M. Hibi","wta319473","JPN","","","","","","","0","1","","4","","","","","","","","false"
"","","","","","15","L. Qualifying Singles","RS","2","K","12125","R: Court 3","c","L. Qualifying Singles - First Round","First Round","0","1:01","1466529248000","Tuesday 21 June 2016","06:14pm BST","1","false","1","10.30","Complete","Paszek","Tamira","T. Paszek","wta313035","AUT","","","","","","7","2","6","","6","","","","","","","","true","Hesse","Amandine","A. Hesse","wta315148","FRA","","","","","","","0","2","","1","","","","","","","","false"
"","","","","","16","L. Qualifying Singles","RS","2","K","12145","R: Court 3","c","L. Qualifying Singles - First Round","First Round","0","1:10","1466534974000","Tuesday 21 June 2016","07:49pm BST","4","false","1","10.30","Complete","Han","Xinyun","X. Han","wta312636","CHN","","","","","","12","0","1","","6","4","","","","","","","false","Anderson","Robin","R. Anderson","wta317175","USA","","","","","","","2","6","","7","7","","","","","","","true"
"","","","","","17","G. Qualifying Singles","QS","2","J","11131","R: Court 4","d","G. Qualifying Singles - First Round","First Round","0","0:51","1466505257000","Tuesday 21 June 2016","11:34am BST","7","false","1","10:30 AM","Complete","Copil","Marius","M. Copil","atpca99","ROU","","","","","","","2","6","","6","","","","","","","","true","Wu","Di","D. Wu","atpw571","CHN","","","","","","","0","1","","2","","","","","","","","false"
"","","","","","18","G. Qualifying Singles","QS","2","J","11152","R: Court 4","d","G. Qualifying Singles - First Round","First Round","0","0:52","1466509557000","Tuesday 21 June 2016","12:45pm BST","7","false","1","10.30","Complete","Ilhan","Marsel","M. Ilhan","atpk771","TUR","","","","","","","0","3","","4","","","","","","","","false","Munoz De La Nava","Daniel","D. Munoz De La Nava","atpm915","ESP","","","","","","17","2","6","","6","","","","","","","","true"
"","","","","","19","G. Qualifying Singles","QS","2","J","11110","R: Court 4","d","G. Qualifying Singles - First Round","First Round","0","0:58","1466513985000","Tuesday 21 June 2016","01:59pm BST","6","false","1","10.30","Complete","Safwat","Mohamed","M. Safwat","atpsk47","EGY","","","","","","","2","6","","6","","","","","","","","true","Lipovsek Puches","Tomas","T. Lipovsek Puches","atplc58","ARG","","","","","","","0","3","","2","","","","","","","","false"
"","","","","","20","L. Qualifying Singles","RS","2","K","12117","R: Court 4","d","L. Qualifying Singles - First Round","First Round","0","0:45","1466517491000","Tuesday 21 June 2016","02:58pm BST","1","false","1","10.30","Complete","Sakkari","Maria","M. Sakkari","wta318312","GRE","","","","","","5","2","6","","6","","","","","","","","true","Leykina","Polina","P. Leykina","wta318210","RUS","","","","","","","0","0","","0","","","","","","","","false"
"","","","","","21","L. Qualifying Singles","RS","2","K","12124","R: Court 4","d","L. Qualifying Singles - First Round","First Round","0","1:14","1466522944000","Tuesday 21 June 2016","04:29pm BST","1","false","1","10.30","Complete","Boserup","Julia","J. Boserup","wta313832","USA","","","","","","","2","6","","6","","","","","","","","true","Brady","Jennifer","J. Brady","wta318358","USA","","","","","","23","0","2","","2","","","","","","","","false"
"","","","","","22","L. Qualifying Singles","RS","2","K","12144","R: Court 4","d","L. Qualifying Singles - First Round","First Round","0","1:28","1466529384000","Tuesday 21 June 2016","06:16pm BST","8","false","1","10.30","Complete","Goncalves","Paula Cristina","P. Goncalves","wta314419","BRA","","","","","","","0","4","","3","","","","","","","","false","Erakovic","Marina","M. Erakovic","wta312086","NZL","","","","","","19","2","6","","6","","","","","","","","true"
"","","","","","23","L. Qualifying Singles","RS","2","K","12140","R: Court 4","d","L. Qualifying Singles - First Round","First Round","0","1:09","1466534481000","Tuesday 21 June 2016","07:41pm BST","1","false","1","10.30","Complete","Vogt","Stephanie","S. Vogt","wta312385","LIE","","","","","","","2","6","","7","","","","","","","","true","Koukalova","Klara","K. Koukalova","wta110492","CZE","","","","","","20","0","3","","5","","","","","","","","false"
"","","","","","24","G. Qualifying Singles","QS","2","J","11130","R: Court 5","e","G. Qualifying Singles - First Round","First Round","0","2:08","1466509945000","Tuesday 21 June 2016","12:52pm BST","6","false","1","10:30 AM","Complete","Ramirez Hidalgo","Ruben","R. Ramirez Hidalgo","atpr383","ESP","","","","","","","2","6","1","6","","6","","","","","","true","Ungur","Adrian","A. Ungur","atpu061","ROU","","","","","","","1","7","7","4","","3","","","","","","false"
"","","","","","25","G. Qualifying Singles","QS","2","J","11107","R: Court 5","e","G. Qualifying Singles - First Round","First Round","0","1:14","1466515491000","Tuesday 21 June 2016","02:24pm BST","1","false","1","10.30","Complete","Nguyen","Daniel","D. Nguyen","atpn555","USA","","","","","","","2","6","","6","","","","","","","","true","Fucsovics","Marton","M. Fucsovics","atpf724","HUN","","","","","","","0","3","","3","","","","","","","","false"
"","","","","","26","G. Qualifying Singles","QS","2","J","11139","R: Court 5","e","G. Qualifying Singles - First Round","First Round","0","1:25","1466521556000","Tuesday 21 June 2016","04:05pm BST","7","false","1","10.30","Complete","Ghem","Andre","A. Ghem","atpg602","BRA","","","","","","","0","6","2","4","","","","","","","","false","Olivetti","Albano","A. Olivetti","atpo411","FRA","","","","","","","2","7","7","6","","","","","","","","true"
"","","","","","27","L. Qualifying Singles","RS","2","K","12108","R: Court 5","e","L. Qualifying Singles - First Round","First Round","0","0:55","1466525832000","Tuesday 21 June 2016","05:17pm BST","1","false","1","10.30","Complete","Chang","Kai-Chen","K-C. Chang","wta313923","TPE","","","","","","","2","6","","6","","","","","","","","true","Glushko","Julia","J. Glushko","wta312889","ISR","","","","","","24","0","2","","3","","","","","","","","false"
"","","","","","28","L. Qualifying Singles","RS","2","K","12142","R: Court 5","e","L. Qualifying Singles - First Round","First Round","0","1:25","1466532165000","Tuesday 21 June 2016","07:02pm BST","7","false","1","10.30","Complete","Mitu","Andreea","A. Mitu","wta314050","ROU","","","","","","","2","6","","6","","","","","","","","true","Schaefer","Anne","A. Schaefer","wta312838","GER","","","","","","","0","4","","2","","","","","","","","false"
"","","","","","29","L. Qualifying Singles","RS","2","K","12147","R: Court 5","e","L. Qualifying Singles - First Round","First Round","0","1:50","1466539737000","Tuesday 21 June 2016","09:08pm BST","13","false","1","10.30","Complete","Razzano","Virginie","V. Razzano","wta180384","FRA","","","","","","","2","7","","7","9","","","","","","","true","Krajicek","Michaella","M. Krajicek","wta311578","NED","","","","","","","0","5","","6","7","","","","","","","false"
"","","","","","30","G. Qualifying Singles","QS","2","J","11129","R: Court 6","f","G. Qualifying Singles - First Round","First Round","0","1:43","1466508520000","Tuesday 21 June 2016","12:28pm BST","5","false","1","10:30 AM","Complete","Fabbiano","Thomas","T. Fabbiano","atpf586","ITA","","","","","","8","2","6","","4","","6","","","","","","true","Kavcic","Blaz","B. Kavcic","atpk834","SLO","","","","","","","1","1","","6","","4","","","","","","false"
"","","","","","31","G. Qualifying Singles","QS","2","J","11106","R: Court 6","f","G. Qualifying Singles - First Round","First Round","0","2:30","1466518475000","Tuesday 21 June 2016","03:14pm BST","0","false","1","10.30","Complete","King","Darian","D. King","atpkc86","BAR","","","","","","","2","1","","6","","10","","","","","","true","Chen","Ti","T. Chen","atpc813","TPE","","","","","","","1","6","","4","","8","","","","","","false"
"","","","","","32","G. Qualifying Singles","QS","2","J","11111","R: Court 6","f","G. Qualifying Singles - First Round","First Round","0","1:53","1466526215000","Tuesday 21 June 2016","05:23pm BST","3","false","1","10.30","Complete","Zemlja","Grega","G. Zemlja","atpz189","SLO","","","","","","","2","6","","6","0","6","","","","","","true","Vanni","Luca","L. Vanni","atpv495","ITA","","","","","","","1","3","","7","7","3","","","","","","false"
"","","","","","33","L. Qualifying Singles","RS","2","K","12107","R: Court 6","f","L. Qualifying Singles - First Round","First Round","0","1:07","1466531165000","Tuesday 21 June 2016","06:46pm BST","4","false","1","10.30","Complete","Kato","Miyu","M. Kato","wta317612","JPN","","","","","","","0","3","","2","","","","","","","","false","Panova","Alexandra","A. Panova","wta311956","RUS","","","","","","","2","6","","6","","","","","","","","true"
"","","","","","34","L. Qualifying Singles","RS","2","K","12121","R: Court 6","f","L. Qualifying Singles - First Round","First Round","0","1:07","1466536206000","Tuesday 21 June 2016","08:10pm BST","7","false","1","10.30","Complete","Davis","Lauren","L. Davis","wta317414","USA","","","","","","6","2","6","","6","","","","","","","","true","Kerkhove","Lesley","L. Kerkhove","wta316537","NED","","","","","","","0","3","","3","","","","","","","","false"
"","","","","","35","G. Qualifying Singles","QS","2","J","11132","R: Court 7","g","G. Qualifying Singles - First Round","First Round","0","1:47","1466508680000","Tuesday 21 June 2016","12:31pm BST","6","false","1","10:30 AM","Complete","Duckworth","James","J. Duckworth","atpd994","AUS","","","","","","","1","1","","7","7","3","","","","","","false","De Schepper","Kenny","K. De Schepper","atpd750","FRA","","","","","","25","2","6","","6","5","6","","","","","","true"
"","","","","","36","G. Qualifying Singles","QS","2","J","11136","R: Court 7","g","G. Qualifying Singles - First Round","First Round","0","1:11","1466513855000","Tuesday 21 June 2016","01:57pm BST","1","false","1","10.30","Complete","Mertens","Yannick","Y. Mertens","atpmg08","BEL","","","","","","","2","6","","6","","","","","","","","true","Andreozzi","Guido","G. Andreozzi","atpa887","ARG","","","","","","27","0","3","","4","","","","","","","","false"
"","","","","","37","G. Qualifying Singles","QS","2","J","11109","R: Court 7","g","G. Qualifying Singles - First Round","First Round","0","0:49","1466517657000","Tuesday 21 June 2016","03:00pm BST","1","false","1","10.30","Complete","Basilashvili","Nikoloz","N. Basilashvili","atpbg23","GEO","","","","","","3","2","6","","6","","","","","","","","true","Molchanov","Denys","D. Molchanov","atpmf71","UKR","","","","","","","0","2","","1","","","","","","","","false"
"","","","","","38","L. Qualifying Singles","RS","2","K","12106","R: Court 7","g","L. Qualifying Singles - First Round","First Round","0","1:15","1466523055000","Tuesday 21 June 2016","04:30pm BST","9","false","1","10.30","Complete","Sadikovic","Amra","A. Sadikovic","wta313355","SUI","","","","","","","2","6","","7","","","","","","","","true","Dodin","Oceane","O. Dodin","wta319436","FRA","","","","","","","0","4","","5","","","","","","","","false"
"","","","","","39","L. Qualifying Singles","RS","2","K","12139","R: Court 7","g","L. Qualifying Singles - First Round","First Round","0","1:03","1466527569000","Tuesday 21 June 2016","05:46pm BST","3","false","1","10.30","Complete","Alexandrova","Ekaterina","E. Alexandrova","wta319007","RUS","","","","","","","2","6","","6","","","","","","","","true","Jabeur","Ons","O. Jabeur","wta316847","TUN","","","","","","","0","3","","3","","","","","","","","false"
"","","","","","40","L. Qualifying Singles","RS","2","K","12143","R: Court 7","g","L. Qualifying Singles - First Round","First Round","0","1:55","1466535470000","Tuesday 21 June 2016","07:57pm BST","8","false","1","10.30","Complete","Radwanska","Urszula","U. Radwanska","wta313131","POL","","","","","","","2","6","","7","7","","","","","","","true","Martic","Petra","P. Martic","wta313711","CRO","","","","","","","0","4","","6","2","","","","","","","false"
"","","","","","41","G. Qualifying Singles","QS","2","J","11114","R: Court 8","h","G. Qualifying Singles - First Round","First Round","0","0:58","1466505463000","Tuesday 21 June 2016","11:37am BST","0","false","1","10:30 AM","Complete","Sarkissian","Alexander","A. Sarkissian","atpsl07","USA","","","","","","","0","1","","4","","","","","","","","false","Rublev","Andrey","A. Rublev","atpre44","RUS","","","","","","","2","6","","6","","","","","","","","true"
"","","","","","42","G. Qualifying Singles","QS","2","J","11135","R: Court 8","h","G. Qualifying Singles - First Round","First Round","0","0:48","1466509392000","Tuesday 21 June 2016","12:43pm BST","1","false","1","10.30","Complete","Kicker","Nicolas","N. Kicker","atpkc29","ARG","","","","","","","0","1","","3","","","","","","","","false","Satral","Jan","J. Satral","atpsk67","CZE","","","","","","","2","6","","6","","","","","","","","true"
"","","","","","43","G. Qualifying Singles","QS","2","J","11101","R: Court 8","h","G. Qualifying Singles - First Round","First Round","0","0:58","1466513879000","Tuesday 21 June 2016","01:57pm BST","0","false","1","10.30","Complete","Khachanov","Karen","K. Khachanov","atpke29","RUS","","","","","","1","2","6","","6","","","","","","","","true","Bai","Yan","Y. Bai","atpbe69","CHN","","","","","","","0","3","","4","","","","","","","","false"
"","","","","","44","L. Qualifying Singles","RS","2","K","12105","R: Court 8","h","L. Qualifying Singles - First Round","First Round","0","2:29","1466524203000","Tuesday 21 June 2016","04:50pm BST","5","false","1","10.30","Complete","Golubic","Viktorija","V. Golubic","wta316296","SUI","","","","","","2","2","7","8","3","","6","","","","","","true","Pivovarova","Anastasia","A. Pivovarova","wta313390","RUS","","","","","","","1","6","6","6","","3","","","","","","false"
"","","","","","45","L. Qualifying Singles","RS","2","K","12115","R: Court 8","h","L. Qualifying Singles - First Round","First Round","0","1:04","1466529039000","Tuesday 21 June 2016","06:10pm BST","3","false","1","10.30","Complete","Townsend","Taylor","T. Townsend","wta318609","USA","","","","","","","2","6","","6","","","","","","","","true","Savchuk","Olga","O. Savchuk","wta310816","UKR","","","","","","","0","4","","4","","","","","","","","false"
"","","","","","46","L. Qualifying Singles","RS","2","K","12135","R: Court 8","h","L. Qualifying Singles - First Round","First Round","0","1:04","1466534158000","Tuesday 21 June 2016","07:35pm BST","6","false","1","10.30","Complete","Eguchi","Misa","M. Eguchi","wta315113","JPN","","","","","","","2","6","","6","","","","","","","","true","Shinikova","Isabella","I. Shinikova","wta316588","BUL","","","","","","","0","4","","1","","","","","","","","false"
"","","","","","47","G. Qualifying Singles","QS","2","J","11128","R: Court 9","i","G. Qualifying Singles - First Round","First Round","0","1:24","1466507268000","Tuesday 21 June 2016","12:07pm BST","0","false","1","10:30 AM","Complete","Setkic","Aldin","A. Setkic","atpsf41","BIH","","","","","","","2","6","","6","","","","","","","","true","Gonzalez","Maximo","M. Gonzalez","atpg585","ARG","","","","","","26","0","2","","3","","","","","","","","false"
"","","","","","48","G. Qualifying Singles","QS","2","J","11133","R: Court 9","i","G. Qualifying Singles - First Round","First Round","0","0:55","1466511427000","Tuesday 21 June 2016","01:17pm BST","13","false","1","10.30","Complete","Sijsling","Igor","I. Sijsling","atpsf36","NED","","","","","","9","2","6","","6","","","","","","","","true","Langer","Nils","N. Langer","atpl908","GER","","","","","","","0","2","","4","","","","","","","","false"
"","","","","","49","G. Qualifying Singles","QS","2","J","11137","R: Court 9","i","G. Qualifying Singles - First Round","First Round","0","2:01","1466519812000","Tuesday 21 June 2016","03:36pm BST","2","false","1","10.30","Complete","Berrer","Michael","M. Berrer","atpb678","GER","","","","","","10","2","6","","2","","6","","","","","","true","Stebe","Cedrik-Marcel","C-M. Stebe","atpsk94","GER","","","","","","","1","4","","6","","4","","","","","","false"
"","","","","","50","L. Qualifying Singles","RS","2","K","12132","R: Court 9","i","L. Qualifying Singles - First Round","First Round","0","1:22","1466525627000","Tuesday 21 June 2016","05:13pm BST","2","false","1","10.30","Complete","Kumkhum","Luksika","L. Kumkhum","wta317033","THA","","","","","","","2","6","","7","8","","","","","","","true","Soler-Espinosa","Silvia","S. Soler-Espinosa","wta311493","ESP","","","","","","15","0","1","","6","6","","","","","","","false"
"","","","","","51","L. Qualifying Singles","RS","2","K","12114","R: Court 9","i","L. Qualifying Singles - First Round","First Round","0","1:22","1466531438000","Tuesday 21 June 2016","06:50pm BST","4","false","1","10.30","Complete","Mertens","Elise","E. Mertens","wta317964","BEL","","","","","","","2","6","","6","","","","","","","","true","Kostova","Elitsa","E. Kostova","wta312182","BUL","","","","","","","0","4","","4","","","","","","","","false"
"","","","","","52","L. Qualifying Singles","RS","2","K","12134","R: Court 9","i","L. Qualifying Singles - First Round","First Round","0","1:00","1466535732000","Tuesday 21 June 2016","08:02pm BST","4","false","1","10.30","Complete","Stefkova","Barbora","B. Stefkova","wta319262","CZE","","","","","","","2","6","","6","","","","","","","","true","Mrdeza","Tereza","T. Mrdeza","wta314333","CRO","","","","","","","0","3","","2","","","","","","","","false"
"","","","","","53","G. Qualifying Singles","QS","2","J","11125","R: Court 10","j","G. Qualifying Singles - First Round","First Round","0","1:17","1466506721000","Tuesday 21 June 2016","11:58am BST","3","false","1","10:30 AM","Complete","Martin","Andrej","A. Martin","atpmf35","SVK","","","","","","7","0","6","0","5","","","","","","","","false","Riba","Pere","P. Riba","atpr750","ESP","","","","","","","2","7","7","7","","","","","","","","true"
"","","","","","54","G. Qualifying Singles","QS","2","J","11108","R: Court 10","j","G. Qualifying Singles - First Round","First Round","0","2:06","1466515557000","Tuesday 21 June 2016","02:25pm BST","1","false","1","10.30","Complete","Kudryavtsev","Alexander","A. Kudryavtsev","atpk596","RUS","","","","","","","2","7","","3","","6","","","","","","true","Chiudinelli","Marco","M. Chiudinelli","atpc582","SUI","","","","","","24","1","5","","6","","3","","","","","","false"
"","","","","","55","G. Qualifying Singles","QS","2","J","11112","R: Court 10","j","G. Qualifying Singles - First Round","First Round","0","1:36","1466522480000","Tuesday 21 June 2016","04:21pm BST","2","false","1","10.30","Complete","Lamasine","Tristan","T. Lamasine","atplc11","FRA","","","","","","","2","4","","7","7","6","","","","","","true","Myneni","Saketh","S. Myneni","atpme64","IND","","","","","","30","1","6","","6","2","1","","","","","","false"
"","","","","","56","L. Qualifying Singles","RS","2","K","12130","R: Court 10","j","L. Qualifying Singles - First Round","First Round","0","1:55","1466530422000","Tuesday 21 June 2016","06:33pm BST","2","false","1","10.30","Complete","King","Vania","V. King","wta311550","USA","","","","","","","2","6","","4","","6","","","","","","true","Kudryavtseva","Alla","A. Kudryavtseva","wta311362","RUS","","","","","","","1","3","","6","","1","","","","","","false"
"","","","","","57","L. Qualifying Singles","RS","2","K","12113","R: Court 10","j","L. Qualifying Singles - First Round","First Round","0","0:49","1466534337000","Tuesday 21 June 2016","07:38pm BST","11","false","1","10.30","Complete","Krunic","Aleksandra","A. Krunic","wta316344","SRB","","","","","","4","2","6","","6","","","","","","","","true","Burger","Cindy","C. Burger","wta317316","NED","","","","","","","0","1","","1","","","","","","","","false"
"","","","","","58","G. Qualifying Singles","QS","2","J","11127","R: Court 11","k","G. Qualifying Singles - First Round","First Round","0","1:40","1466508258000","Tuesday 21 June 2016","12:24pm BST","16","false","1","10:30 AM","Complete","Saville","Luke","L. Saville","atpsm09","AUS","","","","","","","2","6","","4","","6","","","","","","true","Roca Batalla","Oriol","O. Roca Batalla","atprb60","ESP","","","","","","","1","1","","6","","4","","","","","","false"
"","","","","","59","G. Qualifying Singles","QS","2","J","11124","R: Court 11","k","G. Qualifying Singles - First Round","First Round","0","2:07","1466516665000","Tuesday 21 June 2016","02:44pm BST","5","false","1","10.30","Complete","Smith","John-Patrick","J-P. Smith","atpsj55","AUS","","","","","","","1","2","","6","","9","","","","","","false","Krajicek","Austin","A. Krajicek","atpka00","USA","","","","","","22","2","6","","3","","11","","","","","","true"
"","","","","","60","G. Qualifying Singles","QS","2","J","11118","R: Court 11","k","G. Qualifying Singles - First Round","First Round","0","0:52","1466520706000","Tuesday 21 June 2016","03:51pm BST","2","false","1","10.30","Complete","Bemelmans","Ruben","R. Bemelmans","atpbe54","BEL","","","","","","","2","6","","6","","","","","","","","true","Weintraub","Amir","A. Weintraub","atpw471","ISR","","","","","","","0","3","","2","","","","","","","","false"
"","","","","","61","L. Qualifying Singles","RS","2","K","12104","R: Court 11","k","L. Qualifying Singles - First Round","First Round","0","1:41","1466527720000","Tuesday 21 June 2016","05:48pm BST","3","false","1","10.30","Complete","Soylu","Ipek","I. Soylu","wta318822","TUR","","","","","","","1","6","","4","","1","","","","","","false","Peterson","Rebecca","R. Peterson","wta317771","SWE","","","","","","13","2","3","","6","","6","","","","","","true"
"","","","","","62","L. Qualifying Singles","RS","2","K","12112","R: Court 11","k","L. Qualifying Singles - First Round","First Round","0","1:04","1466532646000","Tuesday 21 June 2016","07:10pm BST","4","false","1","10.30","Complete","Jorovic","Ivana","I. Jorovic","wta320360","SRB","","","","","","","0","2","","2","","","","","","","","false","Cepelova","Jana","J. Cepelova","wta316774","SVK","","","","","","14","2","6","","6","","","","","","","","true"
"","","","","","63","G. Qualifying Singles","QS","2","J","11126","R: Court 12","l","G. Qualifying Singles - First Round","First Round","0","0:54","1466505482000","Tuesday 21 June 2016","11:38am BST","3","false","1","10:30 AM","Complete","Smirnov","Artem","A. Smirnov","atpsh77","UKR","","","","","","","0","3","","1","","","","","","","","false","Bachinger","Matthias","M. Bachinger","atpbc65","GER","","","","","","","2","6","","6","","","","","","","","true"
