"days - order","days - title","days - tournDay","days - events","days - quals","days - matches - order","days - matches - eventName","days - matches - eventCode","days - matches - eventDay","days - matches - eventSortOrder","days - matches - id","days - matches - crt","days - matches - crtId","days - matches - event","days - matches - round","days - matches - displayBrackets","days - matches - duration","days - matches - epoch","days - matches - epochLongDate","days - matches - epochShortTime","days - matches - clickCount","days - matches - stats","days - matches - session","days - matches - sessionStart","days - matches - status","days - matches - t1 - pA_last","days - matches - t1 - pA_first","days - matches - t1 - pA_tv_name","days - matches - t1 - pAid","days - matches - t1 - pAnat","days - matches - t1 - pB_last","days - matches - t1 - pB_first","days - matches - t1 - pB_tv_name","days - matches - t1 - pBid","days - matches - t1 - pBnat","days - matches - t1 - seed","days - matches - t1 - sw","days - matches - t1 - s1","days - matches - t1 - t1","days - matches - t1 - s2","days - matches - t1 - t2","days - matches - t1 - s3","days - matches - t1 - t3","days - matches - t1 - s4","days - matches - t1 - t4","days - matches - t1 - s5","days - matches - t1 - gs","days - matches - t1 - won","days - matches - t2 - pA_last","days - matches - t2 - pA_first","days - matches - t2 - pA_tv_name","days - matches - t2 - pAid","days - matches - t2 - pAnat","days - matches - t2 - pB_last","days - matches - t2 - pB_first","days - matches - t2 - pB_tv_name","days - matches - t2 - pBid","days - matches - t2 - pBnat","days - matches - t2 - seed","days - matches - t2 - sw","days - matches - t2 - s1","days - matches - t2 - t1","days - matches - t2 - s2","days - matches - t2 - t2","days - matches - t2 - s3","days - matches - t2 - t3","days - matches - t2 - s4","days - matches - t2 - t4","days - matches - t2 - s5","days - matches - t2 - gs","days - matches - t2 - won"
"","","","","","5","Mixed Doubles","MX","19","E","5404","No.1 Court","B","Mixed Doubles - Quarter-finals","Quarter-finals","0","1:06","1467978326000","Friday 08 July 2016","12:45pm BST","3","true","1","13.00","Complete","Lipsky","Scott","S. Lipsky","atpl580","USA","Kudryavtseva","Alla","A. Kudryavtseva","wta311362","RUS","","0","3","","2","","","","","","","","false","Kontinen","Henri","H. Kontinen","atpka80","FIN","Watson","Heather","H. Watson","wta316981","GBR","","2","6","","6","","","","","","","","true"
"","","","","","6","L. Invitation Doubles","SL","19","S","45102","No.1 Court","B","L. Invitation Doubles - ","","0","1:15","1467984222000","Friday 08 July 2016","02:23pm BST","0","true","1","13.00","Complete","Davenport","Lindsay","L. Davenport","wta040106","USA","Fernandez","Mary Joe","MJ Fernandez","wta060016","USA","","2","6","","7","","","","","","","","true","Maleeva","Magdalena","M. Maleeva","wta130245","BUL","Stubbs","Rennae","R.P. Stubbs","wta190117","AUS","","0","4","","5","","","","","","","","false"
"","","","","","7","L. Invitation Doubles","SL","19","S","45103","No.3 Court","D","L. Invitation Doubles - ","","0","0:59","1467960069000","Friday 08 July 2016","07:41am BST","7","true","1","11:30 AM","Complete","Keothavong","Anne","A. Keothavong","wta110524","GBR","South","Melanie","M. South","wta310620","GBR","","0","3","","3","","","","","","","","false","Novotna","Jana","J. Novotna","wta140029","CZE","Sukova","Helena","H. Sukova","wta190110","CZE","","2","6","","6","","","","","","","","true"
"","","","","","8","Mixed Doubles","MX","19","E","5403","No.3 Court","D","Mixed Doubles - Quarter-finals","Quarter-finals","0","1:46","1467967689000","Friday 08 July 2016","09:48am BST","5","true","1","11.30","Complete","Marach","Oliver","O. Marach","atpm760","AUT","Ostapenko","Jelena","J. Ostapenko","wta319939","LAT","","2","7","","4","","6","","","","","","true","Cabal","Juan-Sebastian","J. Cabal","atpc834","COL","Duque-Marino","Mariana","M. Duque-Marino","wta312572","COL","","1","5","","6","","0","","","","","","false"
"","","","","","9","G. Snr. Invitation Doubles","OD","19","R","47104","No.3 Court","D","G. Snr. Invitation Doubles - ","","0","0:52","1467971975000","Friday 08 July 2016","10:59am BST","5","true","1","11.30","Complete","Casal","Sergio","S. Casal","atpc024","ESP","Sanchez","Emilio","E Sanchez","atps014","ESP","","0","2","","4","","","","","","","","false","Leconte","Henri","H. Leconte","atpl014","FRA","Tarango","Jeff","J. Tarango","atpt136","USA","","2","6","","6","","","","","","","","true"
"","","","","","10","L. Invitation Doubles","SL","19","S","45104","No.3 Court","D","L. Invitation Doubles - ","","0","0:55","1467976226000","Friday 08 July 2016","12:10pm BST","1","true","1","11.30","Complete","Majoli","Iva","I. Majoli","wta130316","CRO","Sanchez Vicario","Arantxa","A Sanchez Vicario","1000044158","ESP","","0","4","","1","","","","","","","","false","Navratilova","Martina","M. Navratilova","wta140007","USA","Sfar","Selima","S. Sfar","wta190473","TUN","","2","6","","6","","","","","","","","true"
"","","","","","11","Mixed Doubles","MX","19","E","5501","No.3 Court","D","Mixed Doubles - Semi-finals","Semi-finals","0","1:50","1467983988000","Friday 08 July 2016","02:19pm BST","0","true","1","11.30","Complete","Qureshi","Aisam","A. Qureshi","atpq019","PAK","Shvedova","Yaroslava","Y. Shvedova","wta311137","KAZ","14","1","4","","6","","5","","","","","","false","Farah","Robert","R. Farah","atpf525","COL","Groenefeld","Anna-Lena","A-L. Groenefeld","wta310318","GER","15","2","6","","2","","7","","","","","","true"
"","","","","","12","Boys' Singles","BS","19","F","21501","Court 12","M","Boys' Singles - Semi-finals","Semi-finals","0","1:57","1467961800000","Friday 08 July 2016","08:10am BST","5","true","1","11:00 AM","Complete","Tsitsipas","Stefanos","S. Tsitsipas","atpte51","GRE","","","","","","1","1","6","","6","5","2","","","","","","false","Shapovalov","Denis","D. Shapovalov","atpsu55","CAN","","","","","","5","2","4","","7","7","6","","","","","","true"
"","","","","","13","Girls' Singles","GS","19","G","22501","Court 12","M","Girls' Singles - Semi-finals","Semi-finals","0","2:15","1467971162000","Friday 08 July 2016","10:46am BST","1","true","1","11.00","Complete","Pervushina","Olesya","O. Pervushina","wta324613","RUS","","","","","","1","1","6","4","7","7","3","","","","","","false","Yastremska","Dayana","D. Yastremska","wta324261","UKR","","","","","","7","2","7","7","6","2","6","","","","","","true"
"","","","","","14","Boys' Doubles","BD","19","H","23301","Court 12","M","Boys' Doubles - Quarter-finals","Quarter-finals","0","0:54","1467976014000","Friday 08 July 2016","12:06pm BST","2","true","1","11.00","Complete","Auger-Aliassime","Felix","F. Auger-Aliassime","atpag37","CAN","Shapovalov","Denis","D. Shapovalov","atpsu55","CAN","1","2","6","","7","7","","","","","","","true","Hossam","Youssef","Y. Hossam","atphd67","EGY","Kirkin","Ergi","E. Kirkin","atpki48","TUR","","0","0","","6","0","","","","","","","false"
